"name","repo_name","all_routers_removed","weeks_survived","category","category_comment"
"allow_uploads","ccnmtl/wardenclyffe",false,362,"OPS","Introduction commit message clearly states this toggle is to be used when the system is entering in maintenance mode."
"vital_uploads","ccnmtl/wardenclyffe",true,20,"OPS","VITAL is an external system that could be used for content publishing. The toggle helps disabling the publishing option to VITAL when needed. VITAL started around 2008 and was decomissioned in 2013 (http://ccnmtl.columbia.edu/vital/nsf/index.html)."
"allow_zencoder","ccnmtl/wardenclyffe",true,11,"OPS","Initial experimental support was added to Zencoder at 1cc63c9. The toggle was added 50 days later."
"enable_s3","ccnmtl/wardenclyffe",false,295,"OPS","Toggle was added altogether with the implementation to upload files to a third-party service, s3. A print comment under the toggle when not active says the uploads are temporarily disabled."
"s3_to_cunix","ccnmtl/wardenclyffe",true,33,"UNKNOWN","The toggle was added 4 days after the initial feature implementation. Still, the purpose is not clear."
"enable_720p","ccnmtl/wardenclyffe",false,267,"OPS","The feature was introduced to support both 480 and 720 encoding options. The toggle (switch) was introduced after 40 days to disable the 720 option. Also, the merged branch was named to disable the said option. All these conditions clearly indicate the toggle is used to keep the system performance under control."
"encode_audio","ccnmtl/wardenclyffe",true,51,"RELEASE","Author in PR79 says: 'Once this code is deployed, we can turn that flag on for testing, verify that the pipeline all works, then turn the flag on for the general public'"
"enable_et_thumbs","ccnmtl/wardenclyffe",false,238,"OPS","Author in PR89 says about the feature: 'is not well documented, so this is a bit of a shot in the dark. So it's behind a waffle flag.'"
"plupload","ccnmtl/wardenclyffe",true,40,"RELEASE","Author in removal PR247 says: 'It's been enabled for all users for quite a while now. This clears out the flag and eliminates the old non-plupload code paths'. Used to transitioning from an old implementation."
"s3_to_youtube","ccnmtl/wardenclyffe",false,213,"UNKNOWN","Under the toggle is the user-facing form to trigger the back-end implementation. Could be a PERMISSIONS or a RELEASE toggle, but still, it is not clear enought."
"s3upload","ccnmtl/wardenclyffe",true,8,"PERMISSION","Author in PR248 says that the toggle is for 'admins or individual users' to test the feature. Key part here is the specificity of users that will be testing. Champagne Brunch."
"mediathread_update","ccnmtl/wardenclyffe",false,166,"RELEASE","Author in PR496 clearly states this toggle should be turned on only when the implementation of the feature is ready in another system."
"panopto_bulk_upload","ccnmtl/wardenclyffe",true,24,"RELEASE","Author in PR967 explains the toggle is to tests the feature in staging before going to production."
"flag_name","CenterForOpenScience/osf.io",false,90,"UNKNOWN","Router inside a non-Waffle wrapper covering multiple flags specific to a client-side application called ember-osf. Implemented to transition features on a user-basis from an old 'flask' views. See PR8208, comments in PR8197 and decorator comment."
"ember_project__page.formatpage","CenterForOpenScience/osf.io",true,28,"UNKNOWN","Router covering multiple toggles related to pages of the ember osf application. Toggles (flags) allow showing certain ember pages according to the naming convention in PR8208. Later removed because it was exposing private pages to unauthorized users."
"enforce_csrf","CenterForOpenScience/osf.io",false,73,"RELEASE","Author indicates in the introduction commit (0e714379) message the switch it to merge earlier."
"name","CenterForOpenScience/osf.io",false,73,"UNKNOWN","Routers covering a set of toggles (flags, samples and switches) active for the user requesting the 'root' endpoint to the OSF API."
"EZID_SWITCH","CenterForOpenScience/osf.io",true,22,"RELEASE","See EZID_SWITCH toggle"
"settings.INSTITUTIONAL_LANDING_FLAG","CenterForOpenScience/osf.io",false,73,"RELEASE","Renamed to features.INSTITUTIONAL_LANDING_FLAG. Author indicates in PR8333 that the main purpose is to add navigation support and to QA to test the navigation is as expected. This clearly shows the toggle is meant to hide a feature from production before QA verifies the functionality."
"ember_registries_detail_page","CenterForOpenScience/osf.io",false,66,"RELEASE","Same ember_registries_detail_page toggle. Code under router redirects to another url. A comment under both routers (9625e2b27) says: 'Registration settings page obviated during redesign'. Also in a reviewer comment of PR8569 of in ember_registries_detail_page says the redirection can be removed once 'everything is in ember'. Whereas 'redesign' is referred to 'ember' as clarified in PR8208 and PR8197, this is a toggle to hide incomplete work. A software engineer of the project confirmed via email."
"storage_i18n","CenterForOpenScience/osf.io",false,66,"RELEASE","Same storage_i18n toggle. osf.io uses GitFlow to manage their development and relase process. The feature was released in 0.156.0 and the toggle was added as hotfix in release 0.156.3. Usage is unclear."
"DISABLE_ENGAGEMENT_EMAILS","CenterForOpenScience/osf.io",false,65,"OPS","Author says in PR8702 this is a 'feature' to temporarily disable a specific set of engagement emails. Disabling these engagement emails was made a feature in release 18.0.0. Not product-centric due to its temporary characteristic."
"features.ELASTICSEARCH_METRICS","CenterForOpenScience/osf.io",false,61,"RELEASE","Author in PR8757 indicates this is an unstable feature and needs the toggle on to work."
"ENABLE_INACTIVE_SCHEMAS","CenterForOpenScience/osf.io",false,54,"RELEASE","Author in PR8831 says this is the first round to end a legacy feature. This toggle is part of a partial transtion to the replacement feature, exposing both old and new 'schemas' in the API."
"features.DISABLE_DATACITE_DOIS","CenterForOpenScience/osf.io",true,2,"OPS","Author in PR8855 says the the toggle switch is used to prevent sending updates to another system while it goes through a scheduled downtime."
"features.OSF_PREREGISTRATION","CenterForOpenScience/osf.io",false,52,"RELEASE","Originally introduced with ENABLE_INACTIVE_SCHEMAS, this toggle completely replaces an old feature with a new one when turned on. Release CHANGELOG announces it."
"features.STORAGE_USAGE","CenterForOpenScience/osf.io",false,37,"RELEASE","Product-centric toggle hiding a feature being released in 19.5.0. See PR8808."
