"name","repo_name","all_routers_removed","weeks_survived","category","expected_longevity","all_routers_removed"
"allow_uploads","ccnmtl/wardenclyffe",false,362,"OPS","long",false
"vital_uploads","ccnmtl/wardenclyffe",true,20,"OPS","long",true
"enable_720p","ccnmtl/wardenclyffe",false,267,"OPS","long",false
"enable_et_thumbs","ccnmtl/wardenclyffe",false,238,"OPS","short",false
"mediathread_update","ccnmtl/wardenclyffe",false,166,"RELEASE","short",false
"EZID_SWITCH","CenterForOpenScience/osf.io",true,22,"RELEASE","short",true
"settings.INSTITUTIONAL_LANDING_FLAG","CenterForOpenScience/osf.io",false,73,"RELEASE","short",false
"DISABLE_ENGAGEMENT_EMAILS","CenterForOpenScience/osf.io",false,65,"OPS","short",false
"features.DISABLE_DATACITE_DOIS","CenterForOpenScience/osf.io",true,2,"OPS","short",true
"features.STORAGE_USAGE","CenterForOpenScience/osf.io",false,37,"RELEASE","short",false
"parallel_refresh_pipeline","edx/course-discovery",false,168,"OPS","long",false
"publisher_hide_features_for_pilot","edx/course-discovery",true,136,"RELEASE","short",true
"use_company_name_as_utm_source_value","edx/course-discovery",false,114,"RELEASE","short",false
"PUBLISHER_REMOVE_PACING_TYPE_EDITING","edx/course-discovery",true,48,"RELEASE","short",true
"MASTERS_COURSE_MODE_ENABLED","edx/course-discovery",false,43,"RELEASE","short",false
"PAYPAL_RETRY_ATTEMPTS","edx/ecommerce",false,223,"RELEASE","long",false
"send_level_2_3_details_to_cybersource","edx/ecommerce",true,1,"RELEASE","short",true
"add-utm-params","edx/ecommerce",true,1,"OPS","short",true
"use_basket_calculate_none_user","edx/ecommerce",true,4,"OPS","short",true
"PROGRAM_APPLICATOR_USE_FLAG","edx/ecommerce",false,66,"RELEASE","short",false
"show_engagement_demo_interface","edx/edx-analytics-dashboard",true,7,"RELEASE","short",true
"show_engagement_forum_activity","edx/edx-analytics-dashboard",false,268,"RELEASE","long",false
"course_homepage","edx/edx-analytics-dashboard",true,1,"RELEASE","short",true
"enable_course_api","edx/edx-analytics-dashboard",false,253,"OPS","long",false
"enable_ccx_courses","edx/edx-analytics-dashboard",true,70,"RELEASE","long",true
"display_retired_programs_on_learner_dashboard","edx/edx-platform",true,1,"OPS","short",true
"populate-multitenant-programs","edx/edx-platform",true,10,"RELEASE","short",true
"get-multitenant-programs","edx/edx-platform",true,9,"RELEASE","short",true
"add-utm-params","edx/edx-platform",true,2,"OPS","short",true
"course_duration_limits.enqueue_enabled","edx/edx-platform",true,35,"RELEASE","short",true
"create_sprint","kh-004-webuipython/Jiller",false,6,"PERMISSION","long",false
"create_issue","kh-004-webuipython/Jiller",false,6,"PERMISSION","long",false
"edit_issue","kh-004-webuipython/Jiller",false,6,"PERMISSION","long",false
"create_task","kh-004-webuipython/Jiller",false,4,"PERMISSION","long",false
"return_issue_to_backlog","kh-004-webuipython/Jiller",false,1,"PERMISSION","long",false
"firefox-os-tv","mozilla/bedrock",true,31,"RELEASE","short",true
"firefox-os-index-2015","mozilla/bedrock",true,6,"RELEASE","short",true
"tracking-protection","mozilla/bedrock",true,27,"RELEASE","short",true
"firefox-firstrun-optimizely","mozilla/bedrock",true,2,"EXPERIMENT","short",true
"firefox-hello-2016","mozilla/bedrock",true,4,"RELEASE","short",true
"unread_message_count","mozilla/kitsune",true,20,"OPS","short",true
"private-messaging","mozilla/kitsune",true,17,"RELEASE","short",true
"hide-voting","mozilla/kitsune",false,363,"OPS","long",false
"browserid","mozilla/kitsune",true,5,"RELEASE","short",true
"new_aaq","mozilla/kitsune",false,228,"EXPERIMENT","short",false
"disco-pane-store-collections","mozilla/zamboni",true,159,"OPS","long",true
"csp-store-reports","mozilla/zamboni",false,316,"OPS","long",false
"summer-promos","mozilla/zamboni",true,1,"RELEASE","short",true
"submit-personas","mozilla/zamboni",true,125,"OPS","short",true
"marketplace","mozilla/zamboni",true,129,"RELEASE","short",true
"goals-morning-checkin","tndatacommons/tndata_backend",true,50,"EXPERIMENT","short",true
"use-rqscheduler","tndatacommons/tndata_backend",false,59,"OPS","long",false
"goals-create_notifications","tndatacommons/tndata_backend",false,54,"OPS","long",false
"notifications-expire","tndatacommons/tndata_backend",false,54,"OPS","long",false
"notifications-sms","tndatacommons/tndata_backend",false,10,"OPS","long",false
"education_group_update","uclouvain/osis",false,76,,"short",false
"learning_unit_update","uclouvain/osis",false,76,,"short",false
"learning_unit_delete","uclouvain/osis",false,76,,"short",false
"learning_unit_external_create","uclouvain/osis",false,76,,"short",false
"education_group_year_generate_pdf","uclouvain/osis",false,23,,"short",false
