repo_name,library,library_language,number_of_commits
launchdarkly/python-server-sdk,launchdarkly,Python,713
mcneilco/acas,launchdarkly,Python,1003
bcgov/lear,launchdarkly,Python,625
launchdarkly/SupportService,launchdarkly,Python,289
disqus/gutter-django,Gutter,Python,404
open-ods/open-ods,Flask FeatureFlags,Python,703
alphagov/backdrop,Flask FeatureFlags,Python,1947
sdss/marvin,Flask FeatureFlags,Python,5446
vikingco/django-smsgateway,Waffle,Python,125
edx/edx-platform,Waffle,Python,52538
edx/course-discovery,Waffle,Python,2469
open-craft/openedx-completion-aggregator,Waffle,Python,136
mozilla-services/socorro,Waffle,Python,13099
edx/ecommerce,Waffle,Python,3201
edx/edx-drf-extensions,Waffle,Python,117
uclouvain/osis,Waffle,Python,23863
mozilla/zamboni,Waffle,Python,25542
cjlee112/socraticqs2,Waffle,Python,2189
edx/completion,Waffle,Python,126
CenterForOpenScience/osf.io,Waffle,Python,53321
OpenHumans/open-humans,Waffle,Python,2518
hmgoalie35/ayrabo,Waffle,Python,1466
OPI-PIB/edx-platform-private,Waffle,Python,439
edx/edx-analytics-dashboard,Waffle,Python,1734
edx/edx-analytics-data-api,Waffle,Python,527
edx/credentials,Waffle,Python,714
CMSgov/bluebutton-web-server,Waffle,Python,3162
comses/comses.net,Waffle,Python,1820
ccnmtl/nepi,Waffle,Python,3129
edx/edx-enterprise,Waffle,Python,1091
ccnmtl/mediathread,Waffle,Python,7358
edx-solutions/api-integration,Waffle,Python,364
open-apparel-registry/open-apparel-registry,Waffle,Python,1061
edx/edx-proctoring,Waffle,Python,1322
edx/portal-designer,Waffle,Python,126
mozilla/kitsune,Waffle,Python,7357
ministryofjustice/manchester_traffic_offences_pleas,Waffle,Python,2087
tomhamiltonstubber/salsa-verde,Waffle,Python,109
gbozee/pyconng,Waffle,Python,330
aptivate/econsensus,Waffle,Python,1560
fanscribed/fanscribed,Waffle,Python,511
timbroder/reader-follow,Waffle,Python,138
mangroveorg/datawinners,Waffle,Python,11880
