name,languages,package_manager_data,imports_or_usage,repositories
unleash-client-dotnet,"C#,Visual Basic","Unleash.FeatureToggle.Client,NuGet",Unleash, https://github.com/stiano/unleash-client-dotnet
unleash-client,"C#,Visual Basic","unleash.client,NuGet",, https://github.com/onybo/unleash-client-core
launchdarkly,"C#,Visual Basic","LaunchDarkly.Client,NuGet",, https://github.com/launchdarkly/dotnet-client
NFeature,"C#,Visual Basic","NFeature,NuGet",, https://github.com/benaston/NFeature
FeatureToggle,"C#,Visual Basic","FeatureToggle,NuGet",, https://github.com/jason-roberts/FeatureToggle
FeatureSwitcher,"C#,Visual Basic","FeatureSwitcher,NuGet",, https://github.com/mexx/FeatureSwitcher
nToggle,"C#,Visual Basic",,, https://github.com/SteveMoyer/nToggle
Toggler,"C#,Visual Basic","Toggler,NuGet",, https://github.com/manojlds/Toggler
launchdarkly,Go,"github.com/launchdarkly/go-client,Go",launchdarkly/go-client, https://github.com/launchdarkly/go-client
Toggle,Go,"github.com/xchapter7x/toggle,Go",xchapter7x/toggle, https://github.com/xchapter7x/toggle
dcdr,Go,"github.com/vsco/dcdr,Go",vsco/dcdr/client, https://github.com/vsco/dcdr
unleash-client-go,Go,"github.com/unleash/unleash-client-go,Go",Unleash/unleash-client-go, https://github.com/unleash/unleash-client-go
unleash-client-node,"JavaScript,TypeScript","unleash-client,NPM",, https://github.com/unleash/unleash-client-node
launchdarkly,"JavaScript,TypeScript","ldclient-js,NPM",, https://github.com/launchdarkly/js-client
ember-feature-flags,"JavaScript,TypeScript","ember-feature-flags,NPM",, https://github.com/kategengler/ember-feature-flags
feature-toggles,"JavaScript,TypeScript","feature-toggles,NPM",, https://github.com/alexlawrence/feature-toggles
React Feature Toggles,"JavaScript,TypeScript","@paralleldrive/react-feature-toggles,NPM",, https://github.com/paralleldrive/react-feature-toggles
launchdarkly,"JavaScript,TypeScript","ldclient-node,NPM",,https://github.com/launchdarkly/node-client
flipit,"JavaScript,TypeScript","flipit,NPM",,https://github.com/FenrirUnbound/flipit
fflip,"JavaScript,TypeScript","fflip,NPM",, https://github.com/FredKSchott/fflip
Bandiera,"JavaScript,TypeScript","bandiera-client,NPM",, https://github.com/springernature/bandiera-client-node
flopflip,"JavaScript,TypeScript","@flopflip/react-redux,NPM
@flopflip/react-broadcast,NPM",, https://github.com/tdeekens/flopflip
launchdarkly,"Kotlin,Java","com.launchdarkly:launchdarkly-android-client,Maven",com.launchdarkly.android,https://github.com/launchdarkly/android-client
toggle,"Kotlin,Java","cc.soham:toggle,Maven",cc.soham.toggle.Toggle, https://github.com/s0h4m/toggle
unleash-client-java,"Kotlin,Java","no.finn.unleash:unleash-client-java,Maven",no.finn.unleash, https://github.com/unleash/unleash-client-java
